Код,Наименование товаров,Заказ,Розничная,Корпоративная,от  5000 рублей,от 15000 рублей
,Автомобильные MP3 FM модуляторы,,,,,
00007374,Модулятор FM A-27 Bluetooth (шт.),,750.00 руб.,689.40 руб.,478.75 руб.,459.60 руб.
00007375,Модулятор FM B-2 Bluetooth (шт.),,735.00 руб.,661.50 руб.,459.38 руб.,441.00 руб.
00007376,Модулятор FM B-8 Bluetooth (шт.),,700.00 руб.,642.60 руб.,446.25 руб.,428.40 руб.
00007389,Модулятор FM CARB-2 Bluetooth (шт.),,685.00 руб.,612.90 руб.,425.63 руб.,408.60 руб.
00006892,Модулятор FM G-16 Bluetooth (шт.),,675.00 руб.,607.50 руб.,421.88 руб.,405.00 руб.
00003806,Модулятор FM G-17 Bluetooth (шт.),,675.00 руб.,607.50 руб.,421.88 руб.,405.00 руб.
00007013,Модулятор FM M-14 Bluetooth (шт.),,600.00 руб.,549.00 руб.,381.25 руб.,366.00 руб.
00007385,Модулятор FM M-26 Bluetooth (шт.),,550.00 руб.,514.80 руб.,357.50 руб.,343.20 руб.
00007384,Модулятор FM M-9 Bluetooth (шт.),,585.00 руб.,526.50 руб.,365.63 руб.,351.00 руб.
00006508,Модулятор FM S16BT Bluetooth (шт.),,550.00 руб.,511.20 руб.,369.20 руб.,355.00 руб.
00006885,Модулятор FM X-13 Bluetooth (шт.),,380.00 руб.,344.00 руб.,290.25 руб.,279.50 руб.
00006886,Модулятор FM X-14 Bluetooth (шт.),,450.00 руб.,387.00 руб.,290.25 руб.,279.50 руб.
00006726,Модулятор FM X-20 Bluetooth (шт.),,675.00 руб.,607.50 руб.,455.63 руб.,438.75 руб.
00001471,Модулятор FM X-21 Bluetooth (шт.),,450.00 руб.,396.00 руб.,297.00 руб.,286.00 руб.
00006888,Модулятор FM X-22 Bluetooth (шт.),,400.00 руб.,351.00 руб.,263.25 руб.,253.50 руб.
00000850,Модулятор FM X-23 Bluetooth (шт.),,450.00 руб.,369.00 руб.,276.75 руб.,266.50 руб.
00007574,Модулятор FM X-6 Bluetooth (шт.),,500.00 руб.,477.00 руб.,397.50 руб.,381.60 руб.
,Аксессуары,,,,,
,Коробки для CD и DVD,,,,,
00000572,Вставка-держатель для 2CD (прозрач.) /400шт/ (шт.),,3.00 руб.,1.89 руб.,1.69 руб.,1.63 руб.
00001732,Вставка-держатель для 2DVD (прозрач.) /400шт/ (шт.),,5.00 руб.,4.04 руб.,3.64 руб.,3.50 руб.
00000272,"Конверт бумажный с окном, без клея /100/ (шт.)",,5.00 руб.,3.33 руб.,2.41 руб.,2.32 руб.
